"","gridid","glat","glon","vmax_gust","vmax_sust","dist_track","gust_dur","sust_dur","dist_track_dur","vavg_gust","vavg_sust","gust_15","sust_15","gust_20","sust_20","gust_30","sust_30","gust_50","sust_50"
"73","PH052006000",14.031,124.19,30.7647660897308,20.6474940199535,131.686320797904,1260,720,0,3.56639285521006,2.39355225181883,1260,720,900,180,180,0,0,0
"74","PH052007000",13.91,124.29,29.6103062391318,19.8726887510952,139.235695992631,1260,720,0,3.48486563192857,2.33883599458293,1260,720,900,0,0,0,0,0
"75","PH052008000",13.662,124.11,25.1717706634895,16.8938058144224,172.304874284551,1260,540,0,3.16942031397962,2.1271277275031,1260,540,720,0,0,0,0,0
"76","PH052009000",13.704,124.25,26.4383450850326,17.7438557617669,162.17469839012,1260,540,0,3.2643515511512,2.19083996721557,1260,540,900,0,0,0,0,0
"77","PH052010000",13.847,124.31,28.7697556039067,19.3085608079911,144.993368699815,1260,720,0,3.42958479830473,2.3017347639629,1260,720,900,0,0,0,0,0
"78","PH052011000",13.601,124.19,24.8230404052278,16.6597586612267,175.198453260258,1080,540,0,3.14185754717688,2.10862922629321,1080,540,720,0,0,0,0,0
"79","PH054101000",12.439,123.34,11.9236462975965,8.00244717959496,331.397668539032,0,0,0,1.94170948745385,1.3031607298348,0,0,0,0,0,0,0,0
"80","PH054102000",12.424,123.48,12.2207146410338,8.20182190673406,326.082500786368,0,0,0,1.96786858153296,1.32071716881407,0,0,0,0,0,0,0,0
"81","PH054103000",12.021,123.23,9.60268521094655,6.44475517513191,378.304345246749,0,0,0,1.66661137780985,1.11853112604688,0,0,0,0,0,0,0,0
"82","PH054104000",12.4,123.76,12.9140718972996,8.66716234718093,315.184679681284,0,0,0,2.02444706475046,1.35868930520165,0,0,0,0,0,0,0,0
"83","PH054105000",12.001,123.95,11.3632322553264,7.62633037270229,343.826692556773,0,0,0,1.81505008977043,1.21815442266472,0,0,0,0,0,0,0,0
"84","PH054106000",12.019,123.75,10.9507633129701,7.34950557917458,352.124137150879,0,0,0,1.78062870582643,1.1950528227023,0,0,0,0,0,0,0,0
"85","PH054107000",12.868,123.22,14.1125501829313,9.47151018988676,291.604261589193,0,0,0,2.19965634422571,1.47627942565484,0,0,0,0,0,0,0,0
"86","PH054108000",12.154,123.85,11.8882271205635,7.97867591984128,333.70237783583,0,0,0,1.88668790756997,1.2662334950134,0,0,0,0,0,0,0,0
"87","PH054109000",11.812,124.01,10.5636255537143,7.08968157967406,360.211210610237,0,0,0,1.71604679500198,1.15170925839059,0,0,0,0,0,0,0,0
"88","PH054110000",12.226,123.31,10.7413335840322,7.20894871411559,353.98768729559,0,0,0,1.80256083243083,1.20977237075895,0,0,0,0,0,0,0,0
"89","PH054111000",12.337,123.56,11.9272935211985,8.00489498067011,331.329456002058,0,0,0,1.93199955264084,1.29664399506096,0,0,0,0,0,0,0,0
"90","PH054112000",12.203,123.52,11.1589114525722,7.48920231716258,346.756901526917,0,0,0,1.83839329729457,1.23382100489568,0,0,0,0,0,0,0,0
"91","PH054113000",12.274,123.66,11.9325354844567,8.00841307681655,332.868426793175,0,0,0,1.9166208695624,1.28632273124993,0,0,0,0,0,0,0,0
"92","PH054114000",12.63,123.63,13.8948454300636,9.32539961749235,298.42018985791,0,0,0,2.14776834108787,1.44145526247508,0,0,0,0,0,0,0,0
"93","PH054115000",12.098,123.89,11.7076508645506,7.85748380171181,337.131872304998,0,0,0,1.86103073201884,1.2490139141066,0,0,0,0,0,0,0,0
"94","PH054116000",11.856,124.03,10.818664103965,7.26084839192283,354.850479831462,0,0,0,1.74596662340995,1.17178968014091,0,0,0,0,0,0,0,0
"95","PH054117000",11.928,123.89,10.8597713711636,7.28843716185477,353.998354364781,0,0,0,1.75784172768049,1.17975954877885,0,0,0,0,0,0,0,0
"96","PH054118000",12.479,123.72,13.202056165469,8.86044037950941,310.08419657038,0,0,0,2.06745110107106,1.38755107454433,0,0,0,0,0,0,0,0
"97","PH054119000",12.557,123.69,13.585357631861,9.11768968581274,303.265271898653,0,0,0,2.11318508257509,1.41824502186248,0,0,0,0,0,0,0,0
"98","PH054120000",13.058,123.02,14.880755180123,9.98708401350537,279.855799578306,0,0,0,2.27725852207834,1.52836142421365,0,0,0,0,0,0,0,0
"99","PH054121000",12.171,123.76,11.7197214468967,7.86558486368905,336.900547700419,0,0,0,1.87585468832781,1.25896287807236,0,0,0,0,0,0,0,0
"100","PH056202000",12.833,124.11,16.9927452870628,11.4045270382972,254.137250028651,720,0,0,2.44079484121109,1.63811734309469,720,0,0,0,0,0,0,0
"101","PH056203000",12.684,123.92,15.1768200513383,10.1857852693546,279.203223084929,360,0,0,2.26951660380077,1.52316550590656,360,0,0,0,0,0,0,0
"102","PH056204000",12.757,124.1,16.4045326757161,11.0097534736349,261.939030268296,540,0,0,2.37798703529286,1.59596445321669,540,0,0,0,0,0,0,0
"103","PH056205000",12.859,124.04,16.8679583316751,11.3207774038088,255.768274460147,720,0,0,2.43998064984849,1.63757090593859,720,0,0,0,0,0,0,0
"104","PH056206000",12.95,123.81,16.7835915781479,11.2641554215758,257.923027572972,540,0,0,2.44055029739028,1.63795321972502,540,0,0,0,0,0,0,0
"105","PH056207000",12.971,123.57,16.0545395499719,10.7748587583704,267.422949027256,540,0,0,2.38189440257121,1.59858684736323,540,0,0,0,0,0,0,0
"106","PH056208000",12.925,124.1,17.6252139179191,11.8290026294759,246.056454227463,720,0,0,2.51168670252025,1.68569577350352,720,0,0,0,0,0,0,0
"107","PH056209000",12.712,124.02,15.7669369414745,10.5818368734728,270.73100199404,360,0,0,2.31971567442293,1.55685615733082,360,0,0,0,0,0,0,0
"108","PH056210000",12.811,123.97,16.2213243840986,10.8867948886568,264.427956867101,360,0,0,2.38094223016713,1.5979478054813,360,0,0,0,0,0,0,0
"109","PH056211000",12.809,123.88,15.8958425998192,10.6683507381337,269.547227912755,360,0,0,2.35224079963673,1.57868510042734,360,0,0,0,0,0,0,0
"110","PH056212000",12.589,124.03,14.9929164213882,10.0623600143545,281.914023904352,0,0,0,2.23051668460514,1.49699106349338,0,0,0,0,0,0,0,0
"111","PH056213000",12.952,123.69,16.3713228927495,10.9874650286909,263.241138279037,540,0,0,2.40459190203468,1.61382006847965,540,0,0,0,0,0,0,0
"112","PH056214000",13.036,124.15,18.7209967047629,12.5644273186328,232.749900931232,720,0,0,2.61959287370193,1.75811602261874,720,0,0,0,0,0,0,0
"113","PH056215000",12.657,124.08,15.6318193248079,10.4911539092671,272.641875432714,360,0,0,2.29545164265236,1.54057157224991,360,0,0,0,0,0,0,0
"114","PH056216000",13.018,123.99,17.951427680405,12.0479380405402,243.566027189643,720,0,0,2.55262653225812,1.71317216930075,720,0,0,0,0,0,0,0
