typhoon,mun_code,maximum_24h
ketsana2009,PH099701000,1.8797619047619047
ketsana2009,PH064515000,1.9692307692307693
ketsana2009,PH124704000,0.9879166666666667
ketsana2009,PH126306000,2.8875000000000006
ketsana2009,PH150702000,1.884027777777778
ketsana2009,PH137601000,12.230555555555554
ketsana2009,PH050508000,2.485648148148148
ketsana2009,PH086407000,0.325
ketsana2009,PH137602000,12.052083333333334
ketsana2009,PH137502000,11.10138888888889
ketsana2009,PH101312000,0.7924342105263155
ketsana2009,PH031410000,7.701562499999998
ketsana2009,PH137401000,13.24375
ketsana2009,PH137402000,12.873958333333334
ketsana2009,PH054111000,1.350347222222222
ketsana2009,PH112509000,0.26340579710144923
ketsana2009,PH031412000,9.18611111111111
ketsana2009,PH137603000,13.092708333333334
ketsana2009,PH072234000,1.481944444444445
ketsana2009,PH137503000,10.383333333333331
ketsana2009,PH112315000,0.47473958333333327
ketsana2009,PH137604000,11.893749999999999
ketsana2009,PH137403000,13.060416666666667
ketsana2009,PH063035000,0.9018229166666667
ketsana2009,PH013314000,1.4753472222222221
ketsana2009,PH035416000,5.769270833333333
ketsana2009,PH031420000,10.127083333333333
ketsana2009,PH137405000,13.24375
ketsana2009,PH043425000,13.220833333333333
ketsana2009,PH043428000,12.576562500000001
ketsana2009,PH023135000,3.985416666666666
ketsana2009,PH064527000,2.743981481481482
ketsana2009,PH056216000,1.6023148148148145
ketsana2009,PH050517000,3.058928571428572
ketsana2009,PH143213000,3.0873511904761908
ketsana2009,PH126511000,3.208680555555556
ketsana2009,PH112319000,0.30798611111111124
ketsana2009,PH064528000,1.6029761904761903
ketsana2009,PH072250000,1.2973958333333333
ketsana2009,PH041031000,11.395833333333334
ketsana2009,PH166819000,0.7777777777777773
ketsana2009,PH074621000,2.0471354166666678
ketsana2009,PH036916000,5.094791666666668
ketsana2009,PH045647000,16.05803571428571
ketsana2009,PH015546000,3.342083333333335
ketsana2009,PH101321000,0.81875
ketsana2009,PH137504000,10.648958333333335
ketsana2009,PH064531000,1.397916666666667
ketsana2009,PH012934000,1.6010416666666663
ketsana2009,PH071214000,0.7760416666666669
ketsana2009,PH104205000,2.4760416666666663
ketsana2009,PH166706000,0.15654761904761905
ketsana2009,PH021511000,2.8983333333333334
ketsana2009,PH054107000,2.119791666666667
