typhoon,mun_code,pre_max_6h,pre_max_24h,during_total_rainfall,during_max_rainfall,during_mean_rainfall,during_max_1h_intensity,during_max_3h_intensity,during_max_6h_intensity,post_max_6h,post_max_24h
vamco2020,PH021515000,98.64999999999999,260.725,158.82500000000002,15.75,4.292567567567568,23.675,56.75,77.45,100.64999999999999,200.79999999999998
vamco2020,PH023114000,128.44444444444446,323.9666666666667,285.72222222222223,28.405555555555555,5.831065759637188,50.06111111111111,125.18333333333334,175.0888888888889,40.63888888888889,80.5
vamco2020,PH103504000,31.16923076923077,45.41538461538462,1.0076923076923074,0.5307692307692308,0.14395604395604392,0.9076923076923077,0.9999999999999999,,13.700000000000001,15.169230769230769
vamco2020,PH064513000,20.254545454545454,39.71818181818182,7.136363636363637,1.7363636363636363,1.0194805194805194,2.672727272727273,6.427272727272728,,13.845454545454546,24.036363636363635
vamco2020,PH063022000,16.65,27.45,2.325,1.1,0.3321428571428572,1.225,2.25,,46.5,60.675
vamco2020,PH098304000,8.875,19.1,4.574999999999999,3.7,0.6535714285714285,3.85,4.525,,2.225,2.425
vamco2020,PH101305000,35.45882352941177,52.63529411764706,1.4294117647058824,0.5411764705882354,0.2042016806722689,1.0,1.411764705882353,,18.523529411764706,21.223529411764705
vamco2020,PH042109000,24.099999999999998,34.56666666666667,450.4666666666667,31.56666666666667,6.723383084577115,61.1,146.8,232.63333333333333,10.933333333333334,12.433333333333332
vamco2020,PH071224000,17.62,41.08,1.46,0.48,0.20857142857142857,0.84,1.46,,2.6399999999999997,3.42
vamco2020,PH156601000,18.05,30.5,0.47500000000000003,0.15,0.06785714285714287,0.25,0.425,,4.85,11.825
vamco2020,PH042110000,25.474999999999998,29.025000000000002,400.25000000000006,19.65,5.973880597014926,35.974999999999994,98.375,172.85000000000002,5.3,6.075
vamco2020,PH015520000,8.342857142857143,14.77142857142857,147.84285714285716,9.414285714285716,2.4236533957845436,17.342857142857145,49.057142857142864,69.87142857142857,3.7857142857142856,3.7857142857142856
vamco2020,PH045620000,50.977777777777774,100.43333333333334,387.7777777777778,26.522222222222226,5.787728026533998,52.13333333333333,108.25555555555556,140.28888888888886,5.144444444444444,10.02222222222222
vamco2020,PH104310000,23.025000000000002,52.725,4.875,1.95,0.6964285714285714,2.875,4.375,,6.7749999999999995,13.125
vamco2020,PH083721000,25.12,46.42,29.86,5.7,4.265714285714286,10.940000000000001,25.22,,43.1,77.96000000000001
vamco2020,PH133909000,13.1,27.7,435.4,34.3,7.137704918032787,64.5,163.4,240.1,14.3,14.3
vamco2020,PH098305000,24.383333333333333,30.166666666666668,0.0666666666666666,0.0333333333333333,0.009523809523809514,0.0333333333333333,0.0666666666666666,,3.9666666666666663,5.6499999999999995
vamco2020,PH051716000,18.400000000000002,40.03333333333333,452.1166666666667,19.416666666666664,6.748009950248757,36.46666666666667,95.94999999999999,160.48333333333332,74.83333333333333,83.64999999999999
vamco2020,PH056209000,17.066666666666666,27.566666666666666,225.21666666666664,8.366666666666667,3.69207650273224,16.316666666666666,38.83333333333333,75.13333333333333,6.8166666666666655,8.183333333333332
vamco2020,PH083722000,32.93333333333333,63.86666666666667,12.633333333333335,3.2,1.804761904761905,5.233333333333333,9.666666666666668,,52.2,85.63333333333334
vamco2020,PH064514000,18.683333333333334,42.75,7.416666666666666,2.083333333333333,1.0595238095238095,3.3000000000000003,7.416666666666667,,6.066666666666666,13.066666666666666
vamco2020,PH112317000,19.485714285714284,20.799999999999997,12.642857142857142,2.642857142857143,1.8061224489795917,5.242857142857143,11.928571428571429,,12.471428571428572,13.742857142857142
vamco2020,PH126504000,8.936363636363636,11.754545454545454,2.7636363636363632,0.6272727272727272,0.39480519480519477,1.1454545454545455,2.5999999999999996,,5.263636363636363,6.372727272727271
vamco2020,PH020902000,12.966666666666667,26.016666666666666,6.308333333333334,1.25,0.48525641025641025,2.125,3.425,5.7,211.61666666666667,358.125
vamco2020,PH141106000,85.11111111111111,141.0888888888889,177.42222222222225,15.022222222222222,2.9085610200364305,27.199999999999996,57.37777777777777,85.92222222222222,9.355555555555556,9.455555555555556
vamco2020,PH020903000,17.099999999999998,28.65,5.75,0.85,0.4423076923076923,1.65,4.2,5.55,172.29999999999998,341.84999999999997
vamco2020,PH061905000,34.5,51.800000000000004,31.875,4.025,1.275,5.075,10.8,19.1,31.85,35.65
vamco2020,PH160205000,13.466666666666667,30.099999999999998,0.533333333333333,0.2555555555555555,0.07619047619047614,0.33333333333333315,0.4666666666666664,,13.277777777777779,34.54444444444444
vamco2020,PH034912000,50.824999999999996,98.1,165.225,10.25,2.466044776119403,17.1,36.225,63.475,23.625,28.525
vamco2020,PH071225000,10.575000000000001,19.724999999999998,6.6499999999999995,2.125,0.95,3.425,6.15,,16.125,23.974999999999998
vamco2020,PH045807000,76.35,100.8,345.6,13.8,5.665573770491804,26.85,73.7,132.75,2.7,6.6
vamco2020,PH061906000,20.43,23.77,45.12,4.57,1.8048,9.02,14.200000000000001,25.349999999999998,22.93,32.32
vamco2020,PH063023000,18.700000000000003,34.56,9.18,3.5,1.3114285714285714,5.66,8.3,,55.800000000000004,79.76
vamco2020,PH083723000,27.528571428571432,53.81428571428572,16.45714285714286,4.214285714285714,2.3510204081632655,6.828571428571429,15.028571428571428,,72.37142857142858,138.78571428571428
vamco2020,PH104311000,16.8,33.15,1.2,1.2,0.17142857142857143,1.2,1.2,,10.624999999999998,12.625
vamco2020,PH083724000,23.385714285714286,45.371428571428574,20.171428571428574,5.085714285714285,2.881632653061225,9.3,18.6,,53.97142857142857,104.05714285714285
vamco2020,PH086009000,6.0,14.16,169.66,5.84,2.324109589041096,10.74,26.14,50.519999999999996,12.200000000000001,20.1
vamco2020,PH074612000,19.01666666666667,39.099999999999994,11.183333333333335,3.066666666666667,1.597619047619048,5.916666666666667,11.183333333333334,,10.566666666666665,13.266666666666666
vamco2020,PH104207000,28.133333333333333,35.86666666666667,7.766666666666667,1.8,1.1095238095238096,3.4333333333333336,6.633333333333334,,6.166666666666667,11.000000000000002
vamco2020,PH082611000,29.75,57.325,220.95,10.05,3.026712328767123,18.6,35.599999999999994,62.15,19.5,33.5
vamco2020,PH156602000,18.650000000000002,32.5,0.30000000000000004,0.15,0.042857142857142864,0.25,0.3,,5.35,12.75
vamco2020,PH045621000,134.4,220.3,379.07500000000005,18.125,6.892272727272728,34.575,91.64999999999999,147.29999999999998,23.75,24.55
vamco2020,PH023115000,140.68333333333334,384.45,296.83333333333337,20.083333333333336,5.396969696969697,36.19166666666667,80.98333333333333,141.24166666666667,14.533333333333333,25.4
vamco2020,PH067902000,13.475,27.45,1.525,0.5,0.21785714285714283,0.95,1.25,,47.775,58.9
vamco2020,PH118602000,2.0785714285714283,2.885714285714285,1.864285714285714,1.1285714285714286,0.26632653061224487,1.2214285714285713,1.864285714285714,,6.728571428571429,7.542857142857143
vamco2020,PH097222000,27.1,59.22,2.88,2.0,0.4114285714285714,2.42,2.88,,5.18,7.34
vamco2020,PH051605000,92.08571428571427,124.82857142857142,783.9428571428572,40.51428571428572,11.700639658848615,70.05714285714286,141.51428571428573,246.52857142857144,37.44285714285714,39.57142857142857
vamco2020,PH097337000,37.35,44.8,10.2,2.55,1.457142857142857,4.4,9.6,,4.9,7.950000000000001
