SID,name_year,ADM3_PCODE,entry_date,exit_date,hours_difference,is_intersect,is_third_pass
2014260N13135,fung-wong2014,PH150713000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH072249000,2014-09-18 03:00:00,2014-09-18 06:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH083747000,2014-09-18 00:00:00,2014-09-18 03:00:00,3.0,True,False
2014260N13135,fung-wong2014,PH144410000,2014-09-18 15:00:00,2014-09-20 09:00:00,42.0,True,False
2014260N13135,fung-wong2014,PH082623000,2014-09-17 12:00:00,2014-09-18 09:00:00,21.0,True,False
2014260N13135,fung-wong2014,PH166725000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH086024000,2014-09-18 00:00:00,2014-09-18 09:00:00,9.0,True,False
2014260N13135,fung-wong2014,PH042119000,2014-09-18 18:00:00,2014-09-18 21:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH071242000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH166817000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH045646000,2014-09-18 06:00:00,2014-09-18 21:00:00,15.0,True,False
2014260N13135,fung-wong2014,PH166818000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH103520000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH104324000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153638000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH012933000,2014-09-18 18:00:00,2014-09-20 09:00:00,39.0,True,False
2014260N13135,fung-wong2014,PH137607000,2014-09-18 21:00:00,2014-09-19 00:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH160311000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH112322000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH101320000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH086019000,2014-09-18 00:00:00,2014-09-18 06:00:00,6.0,True,False
2014260N13135,fung-wong2014,PH034930000,2014-09-18 15:00:00,2014-09-19 21:00:00,30.0,True,False
2014260N13135,fung-wong2014,PH153816000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH071243000,2014-09-18 00:00:00,2014-09-18 03:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH156613000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH041030000,2014-09-18 18:00:00,2014-09-18 21:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH051611000,2014-09-18 06:00:00,2014-09-18 21:00:00,15.0,True,False
2014260N13135,fung-wong2014,PH104325000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153821000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH034931000,2014-09-18 18:00:00,2014-09-19 21:00:00,27.0,True,False
2014260N13135,fung-wong2014,PH098314000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH097328000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH126314000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153626000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH097221000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH083748000,2014-09-18 00:00:00,2014-09-18 03:00:00,3.0,True,False
2014260N13135,fung-wong2014,PH045812000,2014-09-18 15:00:00,2014-09-19 00:00:00,9.0,True,False
2014260N13135,fung-wong2014,PH157007000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH060417000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH103521000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH104215000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH126315000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH143214000,2014-09-18 15:00:00,2014-09-20 09:00:00,42.0,True,False
2014260N13135,fung-wong2014,PH042120000,2014-09-18 18:00:00,2014-09-18 21:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH061917000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH156614000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH153627000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH086020000,2014-09-17 21:00:00,2014-09-18 09:00:00,12.0,True,False
2014260N13135,fung-wong2014,PH112511000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH074622000,2014-09-18 03:00:00,2014-09-18 06:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH041032000,2014-09-18 15:00:00,2014-09-18 18:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH045813000,2014-09-18 21:00:00,2014-09-19 00:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH175320000,2014-09-18 15:00:00,2014-09-18 18:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH015543000,2014-09-18 18:00:00,2014-09-20 00:00:00,30.0,True,False
2014260N13135,fung-wong2014,PH140124000,2014-09-18 18:00:00,2014-09-20 15:00:00,45.0,True,False
2014260N13135,fung-wong2014,PH045814000,2014-09-18 18:00:00,2014-09-18 21:00:00,3.0,True,False
2014260N13135,fung-wong2014,PH042121000,2014-09-18 18:00:00,2014-09-18 21:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH045648000,2014-09-18 15:00:00,2014-09-18 18:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH060617000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH051736000,2014-09-18 03:00:00,2014-09-18 18:00:00,15.0,True,False
2014260N13135,fung-wong2014,PH097344000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH063045000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH051737000,2014-09-18 03:00:00,2014-09-18 18:00:00,15.0,True,False
2014260N13135,fung-wong2014,PH140125000,2014-09-18 15:00:00,2014-09-20 18:00:00,51.0,True,False
2014260N13135,fung-wong2014,PH143215000,2014-09-18 15:00:00,2014-09-20 09:00:00,42.0,True,False
2014260N13135,fung-wong2014,PH041033000,2014-09-18 15:00:00,2014-09-18 18:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH142710000,2014-09-18 15:00:00,2014-09-20 06:00:00,39.0,True,False
2014260N13135,fung-wong2014,PH150706000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH098315000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH050518000,2014-09-18 00:00:00,2014-09-18 15:00:00,15.0,True,False
2014260N13135,fung-wong2014,PH060607000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH064529000,2014-09-18 03:00:00,2014-09-18 06:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH072251000,2014-09-18 03:00:00,2014-09-18 06:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH083749000,2014-09-18 00:00:00,2014-09-18 03:00:00,3.0,True,False
2014260N13135,fung-wong2014,PH086418000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH133901000,2014-09-18 18:00:00,2014-09-18 21:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH156615000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH174006000,2014-09-18 12:00:00,2014-09-18 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH042122000,2014-09-18 18:00:00,2014-09-19 00:00:00,6.0,False,False
2014260N13135,fung-wong2014,PH160312000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH071244000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH021528000,2014-09-18 15:00:00,2014-09-20 12:00:00,45.0,True,False
2014260N13135,fung-wong2014,PH141113000,2014-09-18 18:00:00,2014-09-20 03:00:00,33.0,True,False
2014260N13135,fung-wong2014,PH168507000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,True,False
2014260N13135,fung-wong2014,PH013320000,2014-09-18 18:00:00,2014-09-20 03:00:00,33.0,True,False
2014260N13135,fung-wong2014,PH153628000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH160211000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH071245000,2014-09-18 00:00:00,2014-09-18 03:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH141114000,2014-09-18 18:00:00,2014-09-20 03:00:00,33.0,True,False
2014260N13135,fung-wong2014,PH140126000,2014-09-18 15:00:00,2014-09-20 12:00:00,45.0,True,False
2014260N13135,fung-wong2014,PH103522000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH166727000,2014-09-17 12:00:00,2014-09-17 15:00:00,3.0,False,False
2014260N13135,fung-wong2014,PH063046000,2014-09-18 06:00:00,2014-09-18 09:00:00,3.0,False,False
